ADOB_ID;ADS_OID;ADOB_LIIK;ORIG_TUNNUS;ETAK_ID;ADS_KEHTIV;OLEK;ADR_ID;KOODAADRESS;TAISAADRESS;LAHIAADRESS;AADR_OLEK;VIITEPUNKT_X;VIITEPUNKT_Y;TASE1_KOOD;TASE1_NIMETUS;TASE1_NIMETUS_LIIGIGA;TASE2_KOOD;TASE2_NIMETUS;TASE2_NIMETUS_LIIGIGA;TASE3_KOOD;TASE3_NIMETUS;TASE3_NIMETUS_LIIGIGA;TASE4_KOOD;TASE4_NIMETUS;TASE4_NIMETUS_LIIGIGA;TASE5_KOOD;TASE5_NIMETUS;TASE5_NIMETUS_LIIGIGA;TASE6_KOOD;TASE6_NIMETUS;TASE6_NIMETUS_LIIGIGA;TASE7_KOOD;TASE7_NIMETUS;TASE7_NIMETUS_LIIGIGA;TASE8_KOOD;TASE8_NIMETUS;TASE8_NIMETUS_LIIGIGA
120078;"LP00014828";"LP";"2110986";;"19.02.2004 03:09:38";"K";116342;"377840176000003JD0000000000000000";"Harju maakond, Tallinna linn, Haabersti linnaosa, Loigu tn";"Loigu tn";"K";534123,79;6589693,87;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0176";"Haabersti linnaosa";"Haabersti linnaosa";"";"";"";"03JD";"Loigu tn";"Loigu tänav";"";"";"";"";"";"";"";"";""
117232;"LP00011338";"LP";"2114629";;"19.02.2004 04:38:53";"K";108756;"377840298000005XH0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Hobujaama tn";"Hobujaama tn";"K";543014,50;6589192,31;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"05XH";"Hobujaama tn";"Hobujaama tänav";"";"";"";"";"";"";"";"";""
129410;"LP00013731";"LP";"2102482";;"19.02.2004 00:32:54";"K";114197;"377840339000004890000000000000000";"Harju maakond, Tallinna linn, Kristiine linnaosa, Oksa tn";"Oksa tn";"K";541330,86;6585752,05;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0339";"Kristiine linnaosa";"Kristiine linnaosa";"";"";"";"0489";"Oksa tn";"Oksa tänav";"";"";"";"";"";"";"";"";""
128617;"LP00016996";"LP";"2114464";;"19.02.2004 04:34:39";"K";119028;"3778402980000040P0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Saku tn";"Saku tn";"K";541907,90;6586012,77;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"040P";"Saku tn";"Saku tänav";"";"";"";"";"";"";"";"";""
128729;"LP00012503";"LP";"2612351";;"28.05.2004 09:50:37";"K";117680;"377840298000005YS0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Kanuti tn";"Kanuti tn";"K";542737,32;6589399,12;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"05YS";"Kanuti tn";"Kanuti tänav";"";"";"";"";"";"";"";"";""
129586;"LP00023788";"LP";"2114031";;"19.02.2004 04:23:22";"K";108673;"3778402980000040A0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Vana-Lõuna tn";"Vana-Lõuna tn";"K";542336,20;6587430,18;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"040A";"Vana-Lõuna tn";"Vana-Lõuna tänav";"";"";"";"";"";"";"";"";""
129644;"LP00014175";"LP";"2116802";;"19.02.2004 05:33:46";"K";108867;"377840614000003VA0000000000000000";"Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Väike-Laagri tn";"Väike-Laagri tn";"K";541853,54;6590089,40;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0614";"Põhja-Tallinna linnaosa";"Põhja-Tallinna linnaosa";"";"";"";"03VA";"Väike-Laagri tn";"Väike-Laagri tänav";"";"";"";"";"";"";"";"";""
128925;"LP00023554";"LP";"2618363";;"28.05.2004 10:09:51";"K";111014;"377840176000004EV0000000000000000";"Harju maakond, Tallinna linn, Haabersti linnaosa, Mäekõrtsi tn";"Mäekõrtsi tn";"K";536557,01;6587687,03;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0176";"Haabersti linnaosa";"Haabersti linnaosa";"";"";"";"04EV";"Mäekõrtsi tn";"Mäekõrtsi tänav";"";"";"";"";"";"";"";"";""
128951;"LP00012882";"LP";"2614677";;"28.05.2004 09:55:16";"K";115299;"377840176000004J70000000000000000";"Harju maakond, Tallinna linn, Haabersti linnaosa, Rannaniidu tn";"Rannaniidu tn";"K";532084,08;6589037,43;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0176";"Haabersti linnaosa";"Haabersti linnaosa";"";"";"";"04J7";"Rannaniidu tn";"Rannaniidu tänav";"";"";"";"";"";"";"";"";""
123574;"LP00019080";"LP";"2106531";;"19.02.2004 02:08:21";"K";116337;"377840596000004450000000000000000";"Harju maakond, Tallinna linn, Pirita linnaosa, Lõosilma tee";"Lõosilma tee";"K";550155,32;6591342,25;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0596";"Pirita linnaosa";"Pirita linnaosa";"";"";"";"0445";"Lõosilma tee";"Lõosilma tee";"";"";"";"";"";"";"";"";""
117684;"LP00011892";"LP";"2604218";;"23.04.2004 14:44:04";"K";114855;"377840339000001L00000000000000000";"Harju maakond, Tallinna linn, Kristiine linnaosa, Kure tn";"Kure tn";"K";539961,36;6586609,71;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0339";"Kristiine linnaosa";"Kristiine linnaosa";"";"";"";"01L0";"Kure tn";"Kure tänav";"";"";"";"";"";"";"";"";""
121980;"LP00017159";"LP";"2102528";;"19.02.2004 00:34:07";"K";110541;"377840339000006230000000000000000";"Harju maakond, Tallinna linn, Kristiine linnaosa, Lagle pst";"Lagle pst";"K";541251,06;6586981,83;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0339";"Kristiine linnaosa";"Kristiine linnaosa";"";"";"";"0623";"Lagle pst";"Lagle puiestee";"";"";"";"";"";"";"";"";""
118746;"LP00013194";"LP";"2113852";;"19.02.2004 04:20:39";"K";108503;"3778402980000049Z0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Oru tn";"Oru tn";"K";545485,64;6589647,61;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"049Z";"Oru tn";"Oru tänav";"";"";"";"";"";"";"";"";""
121987;"LP00017168";"LP";"2612468";;"28.05.2004 09:51:04";"K";110619;"3778402980000060M0000000000000000";"Harju maakond, Tallinna linn, Kesklinna linnaosa, Uus-Sadama tn";"Uus-Sadama tn";"K";543756,11;6589516,37;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0298";"Kesklinna linnaosa";"Kesklinna linnaosa";"";"";"";"060M";"Uus-Sadama tn";"Uus-Sadama tänav";"";"";"";"";"";"";"";"";""
122015;"LP00017202";"LP";"2614738";;"28.05.2004 10:09:48";"K";110996;"377840176000004ED0000000000000000";"Harju maakond, Tallinna linn, Haabersti linnaosa, Kahva tn";"Kahva tn";"K";533552,92;6590527,09;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0176";"Haabersti linnaosa";"Haabersti linnaosa";"";"";"";"04ED";"Kahva tn";"Kahva tänav";"";"";"";"";"";"";"";"";""
118753;"LP00013203";"LP";"2104856";;"19.02.2004 01:28:07";"K";118899;"377840387000003K00000000000000000";"Harju maakond, Tallinna linn, Lasnamäe linnaosa, Alvari tn";"Alvari tn";"K";547796,85;6590029,06;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0387";"Lasnamäe linnaosa";"Lasnamäe linnaosa";"";"";"";"03K0";"Alvari tn";"Alvari tänav";"";"";"";"";"";"";"";"";""
119681;"LP00014342";"LP";"2614902";;"28.05.2004 09:55:20";"K";110713;"377840596000004JY0000000000000000";"Harju maakond, Tallinna linn, Pirita linnaosa, Siniladva tee";"Siniladva tee";"K";548504,38;6594729,48;"37";"Harju maakond";"Harju maakond";"784";"Tallinna linn";"Tallinna linn";"0596";"Pirita linnaosa";"Pirita linnaosa";"";"";"";"04JY";"Siniladva tee";"Siniladva tee";"";"";"";"";"";"";"";"";""
